condition,binSize,bin,binStart,binEnd,binCenter,n_trials,n_error,ER_mean,ER_se,MT_n,MT_mean,MT_se,TPe_n,TPe_mean,TPe_se,TPe_with_deviation_n,TPe_with_deviation_mean,TPe_with_deviation_se,condition_label
width_wide,50,1,1,50,25.5,50,25,50.0,7.142857142857142,45,0.8283333333333333,0.025075381302679074,45,46.664356172943855,4.658547221556549,46,46.11617926923333,4.589007758853983,Wide-width A1000 W50 ID20 / C1
width_wide,50,2,51,100,75.5,50,24,48.0,7.137140569598169,42,0.9209761904761904,0.026256739372586827,42,42.34603196406386,4.260419280354093,43,41.436953725200304,4.258327736327754,Wide-width A1000 W50 ID20 / C1
width_wide,50,3,101,150,125.5,50,28,56.00000000000001,7.091242083423347,47,0.7673617021276596,0.01779060093218146,47,41.31594315118839,3.000375417048044,48,40.522354853617344,3.0425221723322755,Wide-width A1000 W50 ID20 / C1
width_wide,50,4,151,200,175.5,50,27,54.0,7.1199633110726355,40,0.721975,0.017817180109413557,40,46.834062338302545,4.44742275536516,40,46.834062338302545,4.44742275536516,Wide-width A1000 W50 ID20 / C1
width_wide,50,5,201,250,225.5,50,28,56.00000000000001,7.091242083423347,37,0.6747297297297298,0.021550403542992855,37,57.0219286567786,5.509906361188002,37,57.0219286567786,5.509906361188002,Wide-width A1000 W50 ID20 / C1
width_wide,50,6,251,300,275.5,50,40,80.0,5.714285714285714,33,0.5488484848484848,0.027170656005150656,33,50.169389899383475,5.4922639045687145,33,50.169389899383475,5.4922639045687145,Wide-width A1000 W50 ID20 / C1
width_wide,50,7,301,350,325.5,25,22,88.0,6.6332495807108,20,0.7546,0.07391183937638136,20,33.05082592868672,3.896145066814093,20,33.05082592868672,3.896145066814093,Wide-width A1000 W50 ID20 / C1
