condition,condition_label,N,MT_single,TPe_single,ER_single,MT_included,TPe_included,MT_omission_reason,TPe_omission_reason
width_wide,Wide-width A1000 W50 ID20 / C1,62,0.876,28.975388784364085,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,63,0.77,82.81851995624183,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,64,0.87,61.04848582597863,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,65,1.026,12.931779599588994,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,66,1.17,14.783118230373976,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,67,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,68,0.616,72.75456574899933,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,69,0.662,35.839212000049,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,70,0.795,39.5601310609688,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,71,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,72,1.107,6.830597888744524,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,73,1.151,3.0674272193067194,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,74,,,100.0,False,False,mt_outlier,mt_outlier
width_wide,Wide-width A1000 W50 ID20 / C1,75,1.06,22.610680207465858,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,76,1.0,21.77218167937318,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,77,0.973,35.0004526123772,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,78,0.78,18.416641114551087,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,79,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,80,0.74,34.55757363661113,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,81,0.89,36.843309865695076,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,82,1.013,52.39585549869649,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,83,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,84,1.045,12.747250860390778,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,85,0.859,61.50552638171165,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,86,1.018,22.5590257108198,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,87,0.957,96.26045308129787,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,88,1.044,51.80525024134843,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,89,0.813,64.14750820030979,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,90,0.936,71.67841763844817,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,91,1.401,15.482449466788317,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,92,0.921,13.068080686975149,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,93,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,94,0.717,48.92769381490553,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,95,0.747,78.62254454732113,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,96,0.696,117.17302224633622,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,97,0.791,63.792383442212916,0.0,True,True,included,included
