condition,rest_block100,n_trials,n_participants,MT_success_mean,ER,MT_mean,MT_median,MT_sd
width_wide,1,100,1,,0.49,0.8730574712643678,0.821,0.17449597558642072
width_wide,2,100,1,,0.55,0.7464942528735632,0.743,0.11930144286181973
width_wide,3,100,1,,0.68,0.6153857142857143,0.6305000000000001,0.1557866706412407
width_wide,4,25,1,,0.88,0.7546,0.6445000000000001,0.3305437943752688
