condition_number,condition,condition_label,ID_group,metric,ylabel,status,a,b,c,r2,n_points
1,width_wide,Wide-width A1000 W50 ID20 / C1,ID20,MT,MT [s],ok,1.1339494226198532,0.08718115857524898,2.963701798843178e-10,0.1356341991785951,264
1,width_wide,Wide-width A1000 W50 ID20 / C1,ID20,TPe,TPe [1/s],ok,-32.58450816353404,1.9576942383285674,46.110437178813704,0.005374579535644575,264
