condition,binSize,bin,binStart,binEnd,binCenter,n_trials,n_error,ER_mean,ER_se,MT_n,MT_mean,MT_se,TPe_n,TPe_mean,TPe_se,TPe_with_deviation_n,TPe_with_deviation_mean,TPe_with_deviation_se,condition_label
width_wide,100,1,1,100,50.5,100,49,49.0,5.024183937956915,87,0.8730574712643678,0.01870793227049514,87,44.579647934174204,3.158291917042702,89,43.85542984908255,3.132003221241432,Wide-width A1000 W50 ID20 / C1
width_wide,100,2,101,200,150.5,100,55,55.00000000000001,5.0,87,0.7464942528735632,0.012790457231639197,87,43.85300944411444,2.610226795498071,88,43.39131280120153,2.6213737528451646,Wide-width A1000 W50 ID20 / C1
width_wide,100,3,201,300,250.5,100,68,68.0,4.688261722621507,70,0.6153857142857143,0.01862006857033653,70,53.7914460997209,3.8906254770703472,70,53.7914460997209,3.8906254770703472,Wide-width A1000 W50 ID20 / C1
width_wide,100,4,301,400,350.5,25,22,88.0,6.6332495807108,20,0.7546,0.07391183937638136,20,33.05082592868672,3.896145066814093,20,33.05082592868672,3.896145066814093,Wide-width A1000 W50 ID20 / C1
