condition,condition_label,binStart,binEnd,binCenter,MT_n,MT_mean,MT_se,TPe_n,TPe_mean,TPe_se
width_wide,Wide-width A1000 W50 ID20 / C1,1,100,50.5,87,0.8730574712643678,0.01870793227049514,87,44.579647934174204,3.158291917042702
width_wide,Wide-width A1000 W50 ID20 / C1,101,200,150.5,87,0.7464942528735632,0.012790457231639197,87,43.85300944411444,2.610226795498071
width_wide,Wide-width A1000 W50 ID20 / C1,201,300,250.5,70,0.6153857142857143,0.01862006857033653,70,53.7914460997209,3.8906254770703472
width_wide,Wide-width A1000 W50 ID20 / C1,301,400,350.5,20,0.7546,0.07391183937638136,20,33.05082592868672,3.896145066814093
