global_block100,global_N,We_mean,Ae_mean,MT_mean,TPe_mean
1,50.5,44.18631890714256,1018.2664057195742,0.93345,41.29831135599059
2,150.5,39.63219576076469,1012.2626448318522,0.7148399999999999,48.61549299160208
3,250.5,56.90319872911628,1046.2080061350819,0.58385,46.600469559069666
4,313.0,36.086280179006444,1010.0067335297852,0.77008,51.45514381720711
