global_N,MT_norm,We_norm,Ae_norm,TPe_norm
1,0.6825757575757576,0.07916264462799891,0.04229321513209883,0.07244202091794712
2,0.7636363636363636,0.05451836780121759,0.06963965428056032,0.09579296275332674
3,,,,
4,0.49924242424242427,0.028150584258070706,0.0757575471459904,0.2269402846310487
5,0.3765151515151515,0.031943859176457756,0.09029057921132118,0.25778398864144947
6,0.371969696969697,0.04843591866582559,0.06984143521331171,0.18699660280363606
7,0.296969696969697,0.1157877605939727,0.09516585242568044,0.10128557743043867
8,,,,
9,0.3409090909090909,0.022499038831236638,0.03945973635016072,0.3280985449177451
10,0.2878787878787879,0.07924651610063463,0.05600445329040337,0.1430374104749112
11,0.5325757575757576,0.016382212037769208,0.072800487794349,0.2963489471286407
12,0.41590909090909084,0.042851068000631404,0.11065097347819791,0.19804479868046218
13,0.4,0.018237288972046184,0.05748970971182789,0.3383857689028808
14,0.36893939393939396,0.014595273347709804,0.09072855993211291,0.41194718635661276
15,0.36742424242424243,0.027704209125612708,0.08664691490553886,0.28720187988538537
16,0.3386363636363636,0.0941256891482463,0.061257509964528944,0.10985721566172363
17,0.3606060606060606,0.06667499171824202,0.04743549397117348,0.14275601042440517
18,0.7954545454545454,0.027504370846389146,0.0948081713694733,0.16152902860776844
19,0.6022727272727274,0.04758912105403554,0.042569196264455086,0.12847813085540388
20,0.556060606060606,0.020621700349210542,0.032910215652719815,0.24357191848496534
21,0.4075757575757576,0.14234480560617258,0.10661934171189451,0.06529416152908107
22,0.37272727272727274,0.08181319606866994,0.0979952247318636,0.12179047202989074
23,0.3522727272727273,0.03651640787815402,0.09217958107908929,0.2455643736912949
24,0.3098484848484848,0.012491836922188897,0.093995236641305,0.4944627949213428
25,0.2931818181818182,0.08333698914104014,0.05753815877211937,0.1351997184445856
26,,,,
27,0.31439393939393934,0.14708025539031166,0.08873684688664348,0.07529039055115966
28,0.5424242424242424,0.09772658481891397,0.13010036126295418,0.07883911435618213
29,0.5446969696969697,0.07660103068710784,0.06538150868773115,0.09353792022039596
30,0.5742424242424242,0.0,0.017335016033544103,0.5304432336208654
31,0.37803030303030305,0.08281587171294202,0.07334009425724701,0.11629908673059822
32,0.5583333333333333,0.034871699017355345,0.07126352022272517,0.17882681957802832
33,0.34015151515151515,0.04628588977499877,0.10738101569924093,0.21317753757622893
34,0.6136363636363636,0.006603819692869939,0.08329050347152639,0.38466406142315585
35,0.693939393939394,0.01770819265137788,0.055871288616996674,0.22780392166530408
36,0.5280303030303031,0.05034076816220655,0.05149278073464442,0.13759503421220712
37,0.4416666666666666,0.0573812793268321,0.03132069434280845,0.13837902450216183
38,0.3613636363636364,0.01325456624798792,0.06414374516371066,0.4259647517310993
39,0.4371212121212121,0.019748833349481923,0.07445158503519116,0.30968713263861014
40,0.5553030303030303,0.1365088700792618,0.11352810821670359,0.052687258173567425
41,0.6643939393939393,0.09437313570071985,0.051331276493698876,0.06257558663614775
42,,,,
43,0.2446969696969697,0.028920933071815442,0.13322738681300192,0.3722113847463756
44,0.2795454545454546,0.06630651597994962,0.08155480001519211,0.17503992345234395
45,0.3803030303030303,0.04487152264600536,0.0658871878565214,0.19491401306794823
46,,,,
47,0.6166666666666667,0.2981759399353091,0.3103238952739948,0.020099762961447706
48,0.65,1.0,1.0,0.0
49,,,,
50,0.5810606060606062,0.06505740185651411,0.07600845326876651,0.10438398549069458
51,0.5356060606060606,0.07223109802164976,0.061790807306841604,0.09990541591768516
52,0.515151515151515,0.03793531052910975,0.023591667653019528,0.17055996058198847
53,0.36893939393939396,0.11555084162849666,0.03790639456859833,0.08198287774842314
54,,,,
55,0.3386363636363636,0.06276990439509819,0.11827726696259422,0.1681944653080692
56,0.4522727272727272,0.04297718039380126,0.07810806300787418,0.18040298850105105
57,0.5454545454545454,0.021125535759943904,0.11549955300953117,0.2634718971767046
58,,,,
59,0.5696969696969697,0.13325941047218942,0.09342423182594378,0.05170165740143634
60,0.42878787878787883,0.020882619104298703,0.10278478953239376,0.3121282674265187
61,0.5492424242424243,0.06907285319183451,0.08147453780276791,0.10410808964921425
62,0.5030303030303029,0.004256158040244376,0.08738620670262184,0.49776050411392214
63,0.568939393939394,0.01961301665920037,0.090923954450793,0.26031736959365076
64,0.3939393939393939,0.022152451790709363,0.12573842150019107,0.32623956158958956
65,0.4871212121212121,0.011753487969900682,0.06479841952435125,0.3664634865420352
66,0.8393939393939395,0.07295013287264733,0.06654448181723377,0.06631083898534942
67,0.4757575757575758,0.15660618548417865,0.14338672808082759,0.05341526649115419
68,,,,
69,0.32121212121212117,0.03886564482514324,0.07473500680209083,0.24494782960721864
70,0.34393939393939393,0.01662750526625184,0.08904450854569915,0.40355330178111093
71,0.30530303030303024,0.00801362248982792,0.1316390577195911,0.6094582505238524
72,0.3772727272727273,0.023285423111050814,0.1201395115686883,0.3243427771791831
73,0.3151515151515151,0.07824594017658436,0.09850919795480782,0.1423773504736452
74,0.44621212121212117,0.039103862769761605,0.05403279451505293,0.19128609429370275
75,,,,
76,0.39318181818181824,0.06625571261422118,0.054460283711864635,0.13604934693234683
77,0.37348484848484853,0.01660352679106339,0.08868794151395373,0.3828735114141121
78,0.5113636363636364,0.1696530012910898,0.25283723610317377,0.05103865862849457
79,0.3265151515151515,0.18547143878631786,0.07330156885806097,0.05531975313561794
80,0.32727272727272727,0.054771787225743454,0.1292663321682716,0.19484721988122433
81,0.6287878787878788,0.0819029069775431,0.13134389015994505,0.08290761410626073
82,0.6348484848484849,0.03287156665212219,0.10996618053403691,0.17481908937691792
83,0.41060606060606064,0.021678575333998057,0.1043684840898704,0.31514310241253524
84,0.3621212121212121,0.014409423707883024,0.10845634409447631,0.4262237306202011
85,0.30606060606060603,0.052813085211633574,0.0650073374305612,0.19720245980166798
86,0.44469696969696965,0.12345284337494435,0.08994614103802268,0.0698340658178885
87,0.40833333333333327,0.01916975253145578,0.06670599586891414,0.3276003375735933
