metric,fit_scope,condition_number,condition,condition_label,status,slope,intercept,r2,n_points
MT,condition,1.0,width_wide,Wide-width A1000 W50 ID20 / C1,ok,-0.0009225424974560961,0.8960372129323431,0.18922373618857058,264
MT,continuous_all_trials,,all,All conditions,ok,-0.0007866678374397066,0.8768268493870865,0.14336149851661195,264
We,condition,1.0,width_wide,Wide-width A1000 W50 ID20 / C1,ok,0.052227989604244136,37.13433001979397,0.012730297080675745,264
We,continuous_all_trials,,all,All conditions,ok,0.022648674058920702,41.63775720553033,0.0024943901125742407,264
TPe,condition,1.0,width_wide,Wide-width A1000 W50 ID20 / C1,ok,0.00791401453605746,44.69130535170741,0.0006663237932843513,264
TPe,continuous_all_trials,,all,All conditions,ok,0.023065272436731756,42.30955902472384,0.005897333708361541,264
Ae,condition,1.0,width_wide,Wide-width A1000 W50 ID20 / C1,ok,0.11465280762979897,1004.916571076855,0.02199191025281466,264
Ae,continuous_all_trials,,all,All conditions,ok,0.07007155607521343,1011.6263058245659,0.008559018832921095,264
